state_name,district_name,size
Karnataka,Belagavi,1700
Karnataka,Bidar,1379
Karnataka,Kolar,1206
West Bengal,Purulia,1054
West Bengal,Cooch Behar,971
Karnataka,Chikkaballapura,933
West Bengal,Malda,860
Chhattisgarh,Kabeerdham,795
Assam,Sribhumi,776
Odisha,Nuapada,762
Odisha,Sonepur,643
Odisha,Jajpur,638
Himachal Pradesh,Kangra,615
West Bengal,Purba Medinipur,534
Chhattisgarh,Balrampur-Ramanujganj,505
Chhattisgarh,Balodabazar-Bhatapara,463
Telangana,Wanaparthy,328
Telangana,Kumuram Bheem Asifabad,323
West Bengal,Alipurduar,271
Arunachal Pradesh,Anjaw,249
Jammu And Kashmir,Reasi,202
