state,district,key,year,season,rain_mm,n_days,rain_normal_mm,rain_anom_mm,rain_anom_pct
WEST BENGAL,>L|PUR DU>R,lpurdur,1997-1998,Annual,2965.16,365,3946.17,-981.01,-24.86
WEST BENGAL,>L|PUR DU>R,lpurdur,1998-1999,Annual,5027.17,365,3946.17,1080.99,27.39
WEST BENGAL,>L|PUR DU>R,lpurdur,1999-2000,Annual,4190.37,365,3946.17,244.2,6.19
WEST BENGAL,>L|PUR DU>R,lpurdur,2000-2001,Annual,4267.22,366,3946.17,321.05,8.14
WEST BENGAL,>L|PUR DU>R,lpurdur,2001-2002,Annual,3369.98,365,3946.17,-576.19,-14.6
WEST BENGAL,>L|PUR DU>R,lpurdur,2002-2003,Annual,3602.39,365,3946.17,-343.78,-8.71
WEST BENGAL,>L|PUR DU>R,lpurdur,2003-2004,Annual,4128.7,365,3946.17,182.53,4.63
WEST BENGAL,>L|PUR DU>R,lpurdur,2004-2005,Annual,4672.14,366,3946.17,725.97,18.4
WEST BENGAL,>L|PUR DU>R,lpurdur,2005-2006,Annual,3682.06,365,3946.17,-264.11,-6.69
WEST BENGAL,>L|PUR DU>R,lpurdur,2006-2007,Annual,3414.6,365,3946.17,-531.57,-13.47
WEST BENGAL,>L|PUR DU>R,lpurdur,2007-2008,Annual,4234.79,365,3946.17,288.62,7.31
WEST BENGAL,>L|PUR DU>R,lpurdur,2008-2009,Annual,3952.48,366,3946.17,6.31,0.16
WEST BENGAL,>L|PUR DU>R,lpurdur,2009-2010,Annual,3690.22,365,3946.17,-255.95,-6.49
WEST BENGAL,>L|PUR DU>R,lpurdur,2010-2011,Annual,3960.24,365,3946.17,14.07,0.36
WEST BENGAL,>L|PUR DU>R,lpurdur,2011-2012,Annual,3323.16,365,3946.17,-623.01,-15.79
WEST BENGAL,>L|PUR DU>R,lpurdur,2012-2013,Annual,4279.33,366,3946.17,333.16,8.44
WEST BENGAL,>L|PUR DU>R,lpurdur,2013-2014,Annual,3391.49,365,3946.17,-554.68,-14.06
WEST BENGAL,>L|PUR DU>R,lpurdur,2014-2015,Annual,3488.4,365,3946.17,-457.77,-11.6
WEST BENGAL,>L|PUR DU>R,lpurdur,2015-2016,Annual,4103.03,365,3946.17,156.86,3.97
WEST BENGAL,>L|PUR DU>R,lpurdur,2016-2017,Annual,3962.5,366,3946.17,16.33,0.41
WEST BENGAL,>L|PUR DU>R,lpurdur,2017-2018,Annual,4186.75,365,3946.17,240.58,6.1
WEST BENGAL,>L|PUR DU>R,lpurdur,2018-2019,Annual,3473.79,365,3946.17,-472.38,-11.97
WEST BENGAL,>L|PUR DU>R,lpurdur,2019-2020,Annual,4051.05,365,3946.17,104.88,2.66
WEST BENGAL,>L|PUR DU>R,lpurdur,2020-2021,Annual,5624.69,366,3946.17,1678.52,42.54
WEST BENGAL,>L|PUR DU>R,lpurdur,2021-2022,Annual,3480.38,365,3946.17,-465.79,-11.8
WEST BENGAL,>L|PUR DU>R,lpurdur,2022-2023,Annual,4272.26,365,3946.17,326.09,8.26
WEST BENGAL,>L|PUR DU>R,lpurdur,2023-2024,Annual,3752.23,365,3946.17,-193.94,-4.91
WEST BENGAL,>L|PUR DU>R,lpurdur,1997-1998,Kharif,2463.67,122,3054.9,-591.23,-19.35
WEST BENGAL,>L|PUR DU>R,lpurdur,1998-1999,Kharif,4183.96,122,3054.9,1129.06,36.96
WEST BENGAL,>L|PUR DU>R,lpurdur,1999-2000,Kharif,3060.69,122,3054.9,5.79,0.19
WEST BENGAL,>L|PUR DU>R,lpurdur,2000-2001,Kharif,3377.22,122,3054.9,322.32,10.55
WEST BENGAL,>L|PUR DU>R,lpurdur,2001-2002,Kharif,2286.62,122,3054.9,-768.28,-25.15
WEST BENGAL,>L|PUR DU>R,lpurdur,2002-2003,Kharif,2923.43,122,3054.9,-131.47,-4.3
WEST BENGAL,>L|PUR DU>R,lpurdur,2003-2004,Kharif,3000.45,122,3054.9,-54.45,-1.78
WEST BENGAL,>L|PUR DU>R,lpurdur,2004-2005,Kharif,3510.96,122,3054.9,456.06,14.93
WEST BENGAL,>L|PUR DU>R,lpurdur,2005-2006,Kharif,2619.19,122,3054.9,-435.71,-14.26
WEST BENGAL,>L|PUR DU>R,lpurdur,2006-2007,Kharif,2549.33,122,3054.9,-505.57,-16.55
WEST BENGAL,>L|PUR DU>R,lpurdur,2007-2008,Kharif,3323.41,122,3054.9,268.51,8.79
WEST BENGAL,>L|PUR DU>R,lpurdur,2008-2009,Kharif,3313.24,122,3054.9,258.34,8.46
WEST BENGAL,>L|PUR DU>R,lpurdur,2009-2010,Kharif,2806.42,122,3054.9,-248.48,-8.13
WEST BENGAL,>L|PUR DU>R,lpurdur,2010-2011,Kharif,2830.71,122,3054.9,-224.19,-7.34
WEST BENGAL,>L|PUR DU>R,lpurdur,2011-2012,Kharif,2622.23,122,3054.9,-432.67,-14.16
WEST BENGAL,>L|PUR DU>R,lpurdur,2012-2013,Kharif,3569.4,122,3054.9,514.5,16.84
WEST BENGAL,>L|PUR DU>R,lpurdur,2013-2014,Kharif,2600.4,122,3054.9,-454.5,-14.88
WEST BENGAL,>L|PUR DU>R,lpurdur,2014-2015,Kharif,2705.14,122,3054.9,-349.76,-11.45
WEST BENGAL,>L|PUR DU>R,lpurdur,2015-2016,Kharif,3238.49,122,3054.9,183.59,6.01
WEST BENGAL,>L|PUR DU>R,lpurdur,2016-2017,Kharif,2916.62,122,3054.9,-138.28,-4.53
WEST BENGAL,>L|PUR DU>R,lpurdur,2017-2018,Kharif,3312.43,122,3054.9,257.53,8.43
WEST BENGAL,>L|PUR DU>R,lpurdur,2018-2019,Kharif,2623.31,122,3054.9,-431.59,-14.13
WEST BENGAL,>L|PUR DU>R,lpurdur,2019-2020,Kharif,3208.74,122,3054.9,153.84,5.04
WEST BENGAL,>L|PUR DU>R,lpurdur,2020-2021,Kharif,4707.54,122,3054.9,1652.64,54.1
WEST BENGAL,>L|PUR DU>R,lpurdur,2021-2022,Kharif,2773.83,122,3054.9,-281.07,-9.2
WEST BENGAL,>L|PUR DU>R,lpurdur,2022-2023,Kharif,2804.54,122,3054.9,-250.36,-8.2
WEST BENGAL,>L|PUR DU>R,lpurdur,2023-2024,Kharif,3150.31,122,3054.9,95.41,3.12
WEST BENGAL,>L|PUR DU>R,lpurdur,1997-1998,Rabi,208.24,182,285.15,-76.91,-26.97
WEST BENGAL,>L|PUR DU>R,lpurdur,1998-1999,Rabi,186.23,182,285.15,-98.92,-34.69
WEST BENGAL,>L|PUR DU>R,lpurdur,1999-2000,Rabi,353.46,183,285.15,68.31,23.96
WEST BENGAL,>L|PUR DU>R,lpurdur,2000-2001,Rabi,180.2,182,285.15,-104.95,-36.8
WEST BENGAL,>L|PUR DU>R,lpurdur,2001-2002,Rabi,532.25,182,285.15,247.1,86.66
WEST BENGAL,>L|PUR DU>R,lpurdur,2002-2003,Rabi,334.69,182,285.15,49.55,17.38
WEST BENGAL,>L|PUR DU>R,lpurdur,2003-2004,Rabi,391.52,183,285.15,106.38,37.31
WEST BENGAL,>L|PUR DU>R,lpurdur,2004-2005,Rabi,434.45,182,285.15,149.31,52.36
WEST BENGAL,>L|PUR DU>R,lpurdur,2005-2006,Rabi,425.95,182,285.15,140.8,49.38
WEST BENGAL,>L|PUR DU>R,lpurdur,2006-2007,Rabi,308.01,182,285.15,22.86,8.02
WEST BENGAL,>L|PUR DU>R,lpurdur,2007-2008,Rabi,261.32,183,285.15,-23.83,-8.36
WEST BENGAL,>L|PUR DU>R,lpurdur,2008-2009,Rabi,218.23,182,285.15,-66.92,-23.47
WEST BENGAL,>L|PUR DU>R,lpurdur,2009-2010,Rabi,349.2,182,285.15,64.06,22.46
WEST BENGAL,>L|PUR DU>R,lpurdur,2010-2011,Rabi,193.24,182,285.15,-91.91,-32.23
WEST BENGAL,>L|PUR DU>R,lpurdur,2011-2012,Rabi,77.66,183,285.15,-207.48,-72.76
WEST BENGAL,>L|PUR DU>R,lpurdur,2012-2013,Rabi,228.11,182,285.15,-57.03,-20.0
WEST BENGAL,>L|PUR DU>R,lpurdur,2013-2014,Rabi,272.8,182,285.15,-12.35,-4.33
WEST BENGAL,>L|PUR DU>R,lpurdur,2014-2015,Rabi,102.95,182,285.15,-182.19,-63.89
WEST BENGAL,>L|PUR DU>R,lpurdur,2015-2016,Rabi,266.96,183,285.15,-18.18,-6.38
WEST BENGAL,>L|PUR DU>R,lpurdur,2016-2017,Rabi,328.41,182,285.15,43.26,15.17
WEST BENGAL,>L|PUR DU>R,lpurdur,2017-2018,Rabi,366.45,182,285.15,81.3,28.51
WEST BENGAL,>L|PUR DU>R,lpurdur,2018-2019,Rabi,172.26,182,285.15,-112.89,-39.59
WEST BENGAL,>L|PUR DU>R,lpurdur,2019-2020,Rabi,179.82,183,285.15,-105.33,-36.94
WEST BENGAL,>L|PUR DU>R,lpurdur,2020-2021,Rabi,172.77,182,285.15,-112.38,-39.41
WEST BENGAL,>L|PUR DU>R,lpurdur,2021-2022,Rabi,416.91,182,285.15,131.76,46.21
WEST BENGAL,>L|PUR DU>R,lpurdur,2022-2023,Rabi,451.73,182,285.15,166.59,58.42
ARUNACHAL PRADESH,>NJ>W,njw,1997-1998,Annual,2221.7,365,1597.84,623.86,39.04
ARUNACHAL PRADESH,>NJ>W,njw,1998-1999,Annual,2723.5,365,1597.84,1125.67,70.45
ARUNACHAL PRADESH,>NJ>W,njw,1999-2000,Annual,65.0,365,1597.84,-1532.84,-95.93
ARUNACHAL PRADESH,>NJ>W,njw,2000-2001,Annual,894.25,366,1597.84,-703.59,-44.03
ARUNACHAL PRADESH,>NJ>W,njw,2001-2002,Annual,1419.68,365,1597.84,-178.16,-11.15
ARUNACHAL PRADESH,>NJ>W,njw,2002-2003,Annual,2078.1,365,1597.84,480.26,30.06
ARUNACHAL PRADESH,>NJ>W,njw,2003-2004,Annual,2000.14,365,1597.84,402.3,25.18
ARUNACHAL PRADESH,>NJ>W,njw,2004-2005,Annual,1526.0,366,1597.84,-71.84,-4.5
ARUNACHAL PRADESH,>NJ>W,njw,2005-2006,Annual,2418.83,365,1597.84,820.99,51.38
ARUNACHAL PRADESH,>NJ>W,njw,2006-2007,Annual,0.0,365,1597.84,-1597.84,-100.0
ARUNACHAL PRADESH,>NJ>W,njw,2007-2008,Annual,0.0,365,1597.84,-1597.84,-100.0
ARUNACHAL PRADESH,>NJ>W,njw,2008-2009,Annual,2148.72,366,1597.84,550.88,34.48
ARUNACHAL PRADESH,>NJ>W,njw,2009-2010,Annual,1261.97,365,1597.84,-335.87,-21.02
ARUNACHAL PRADESH,>NJ>W,njw,2010-2011,Annual,2860.68,365,1597.84,1262.84,79.03
ARUNACHAL PRADESH,>NJ>W,njw,2011-2012,Annual,0.0,365,1597.84,-1597.84,-100.0
ARUNACHAL PRADESH,>NJ>W,njw,2012-2013,Annual,0.0,366,1597.84,-1597.84,-100.0
ARUNACHAL PRADESH,>NJ>W,njw,2013-2014,Annual,2130.11,365,1597.84,532.27,33.31
ARUNACHAL PRADESH,>NJ>W,njw,2014-2015,Annual,1688.27,365,1597.84,90.43,5.66
ARUNACHAL PRADESH,>NJ>W,njw,2015-2016,Annual,1889.21,365,1597.84,291.38,18.24
ARUNACHAL PRADESH,>NJ>W,njw,2016-2017,Annual,2724.9,366,1597.84,1127.07,70.54
ARUNACHAL PRADESH,>NJ>W,njw,2017-2018,Annual,2335.68,365,1597.84,737.84,46.18
ARUNACHAL PRADESH,>NJ>W,njw,2018-2019,Annual,1468.29,365,1597.84,-129.55,-8.11
ARUNACHAL PRADESH,>NJ>W,njw,2019-2020,Annual,2385.8,365,1597.84,787.96,49.31
ARUNACHAL PRADESH,>NJ>W,njw,2020-2021,Annual,1906.21,366,1597.84,308.37,19.3
ARUNACHAL PRADESH,>NJ>W,njw,2021-2022,Annual,1302.74,365,1597.84,-295.09,-18.47
ARUNACHAL PRADESH,>NJ>W,njw,2022-2023,Annual,2528.39,365,1597.84,930.55,58.24
ARUNACHAL PRADESH,>NJ>W,njw,2023-2024,Annual,1163.44,365,1597.84,-434.39,-27.19
ARUNACHAL PRADESH,>NJ>W,njw,1997-1998,Kharif,1192.51,122,822.83,369.67,44.93
ARUNACHAL PRADESH,>NJ>W,njw,1998-1999,Kharif,1539.5,122,822.83,716.67,87.1
ARUNACHAL PRADESH,>NJ>W,njw,1999-2000,Kharif,0.0,122,822.83,-822.83,-100.0
ARUNACHAL PRADESH,>NJ>W,njw,2000-2001,Kharif,609.0,122,822.83,-213.83,-25.99
ARUNACHAL PRADESH,>NJ>W,njw,2001-2002,Kharif,658.94,122,822.83,-163.89,-19.92
ARUNACHAL PRADESH,>NJ>W,njw,2002-2003,Kharif,955.05,122,822.83,132.21,16.07
ARUNACHAL PRADESH,>NJ>W,njw,2003-2004,Kharif,1009.52,122,822.83,186.68,22.69
